school_id;school_name;region;district;district_id;ward;ownership;form1_m;form1_f;form2_m;form2_f;form3_m;form3_f;form4_m;form4_f;form5_m;form5_f;form6_m;form6_f;year
S0333;MWANZA;Mwanza;Nyamagana;91;;Government;312;334;290;410;512;504;576;350;210;214;248;274;2012
S0960;B.W.MKAPA HIGH SCHOOL;Dar es Salaam;Ilala;22;;Government;162;149;141;177;236;194;273;253;184;120;307;129;2012
S0101;AZANIA SECONDARI;Dar es Salaam;Ilala;22;;Government;260;0;386;0;462;0;450;0;310;0;391;0;2012
S1741;CHAMAZI;Dar es Salaam;Temeke;126;;Government;266;257;311;312;285;216;264;259;0;0;0;0;2012
S2476;MBAGALA;Dar es Salaam;Temeke;126;;Government;250;272;266;231;269;259;167;237;0;0;0;0;2012
S0546;PAMBA SECONDARI;Mwanza;Nyamagana;91;;Government;196;206;213;183;310;165;206;136;134;35;92;47;2012
S0302;ARUSHA;Arusha;Meru;70;;Government;240;213;237;221;217;207;200;232;0;0;64;72;2012
S0316;KIBASILA;Dar es Salaam;Temeke;126;;Government;156;170;218;200;275;170;242;175;0;0;204;64;2012
S1125;ENYOITO;Arusha;Arusha Rural;1;;Government;233;238;244;274;215;231;219;206;0;0;0;0;2012
S0345;USAGARA;Tanga;Tanga CC;124;;Government;165;155;153;159;200;121;171;133;245;2;275;0;2012
S4004;TANDIKA;Dar es Salaam;Temeke;126;;Government;254;237;254;220;198;204;208;200;0;0;0;0;2012
S0332;MOROGORO;Morogoro;Morogoro Urban;77;;Government;167;168;208;155;129;90;195;195;40;120;79;218;2012
S0526;MRINGA;Arusha;Arusha Rural;1;;Government;180;340;191;254;163;155;117;132;0;95;0;45;2012
S3090;MANZESE;Dar es Salaam;Kinondoni;41;;Government;180;199;153;200;212;255;162;276;0;0;0;0;2012
S3622;MAKUMBUSHO;Dar es Salaam;Kinondoni;41;;Government;165;225;160;162;193;212;251;262;0;0;0;0;2012
S1840;KIMASEKI SEKONDARI;Arusha;Meru;70;;Government;224;269;171;162;195;171;235;195;0;0;0;0;2012
S1864;KIRANYI;Arusha;Arusha Rural;1;;Government;271;288;218;220;158;150;163;149;0;0;0;0;2012
S0931;ILKIDINGA;Arusha;Arusha Rural;1;;Government;214;236;248;226;171;153;192;168;0;0;0;0;2012
S1147;SINON;Arusha;Arusha Manispaa;2;;Government;221;267;173;189;218;226;143;163;0;0;0;0;2012
S3220;LUMO;Dar es Salaam;Temeke;126;;Government;185;185;182;164;201;204;227;217;0;0;0;0;2012
S2813;KURASINI;Dar es Salaam;Temeke;126;;Government;166;157;217;189;228;189;205;213;0;0;0;0;2012
S2265;ELERAI;Arusha;Arusha Manispaa;2;;Government;164;214;156;176;138;134;301;261;0;0;0;0;2012
S3466;WAILES;Dar es Salaam;Temeke;126;;Government;191;173;197;184;168;170;227;229;0;0;0;0;2012
S3223;MBANDE;Dar es Salaam;Temeke;126;;Government;160;164;265;244;210;200;131;122;0;0;0;0;2012
S1806;YUSUFU MAKAMBA;Dar es Salaam;Kinondoni;41;;Government;131;169;198;206;155;165;246;224;0;0;0;0;2012
S0330;MBEYA;Mbeya;Mbeya Urban;64;;Government;81;88;150;138;124;122;127;124;119;116;171;114;2012
S0857;LONGIDO;Arusha;Longido;54;;Government;86;98;186;164;159;104;125;122;158;60;107;103;2012
S1722;TEMEKE;Dar es Salaam;Temeke;126;;Government;233;167;198;155;179;173;153;204;0;0;0;0;2012
S1485;LEMARA;Arusha;Arusha Manispaa;2;;Government;158;169;225;243;158;164;173;168;0;0;0;0;2012
S3222;MBAGALA KUU;Dar es Salaam;Temeke;126;;Government;189;184;168;149;190;167;220;182;0;0;0;0;2012
S1241;JUHUDI;Dar es Salaam;Ilala;22;;Government;127;137;191;187;208;185;195;215;0;0;0;0;2012
S0918;KIMNYAK;Arusha;Arusha Manispaa;2;;Government;209;230;218;212;133;136;155;140;0;0;0;0;2012
S4169;PENDAMOYO;Dar es Salaam;Temeke;126;;Government;187;185;206;157;201;166;192;133;0;0;0;0;2012
S4090;NGARENARO;Arusha;Arusha Manispaa;2;;Government;181;206;190;203;163;157;174;146;0;0;0;0;2012
S0782;MWIKA SEKONDARI;Kilimanjaro;Moshi Rural;80;;Government;136;157;140;154;144;152;112;160;86;47;83;44;2012
S3226;NZASA;Dar es Salaam;Temeke;126;;Government;172;201;225;221;148;135;150;151;0;0;0;0;2012
S0549;LUGOBA;Pwani;Bagamoyo;5;;Government;89;84;109;118;122;107;127;115;165;105;175;83;2012
S2303;NYIENDO;Mara;Bunda;12;;Government;197;251;161;154;152;168;203;108;0;0;0;0;2012
S1966;MIBURANI;Dar es Salaam;Temeke;126;;Government;175;171;227;200;156;134;184;142;0;0;0;0;2012
S0672;MKWAKWANI;Tanga;Tanga CC;124;;Government;151;149;194;149;210;148;208;178;0;0;0;0;2012
S3224;SAKU;Dar es Salaam;Temeke;126;;Government;142;171;175;162;180;144;231;176;0;0;0;0;2012
S0386;GEITA;Geita;Geita TC;17;;Government;132;113;140;102;153;94;160;79;200;0;205;0;2012
S1964;TOANGOMA;Dar es Salaam;Temeke;126;;Government;186;181;135;138;182;182;211;162;0;0;0;0;2012
S3225;CHARAMBE;Dar es Salaam;Temeke;126;;Government;214;182;162;120;197;139;216;142;0;0;0;0;2012
S0755;MUKULAT;Arusha;Arusha Rural;1;;Government;120;118;196;148;226;172;206;182;0;0;0;0;2012
S0866;NTENGA;Kilimanjaro;Same;108;;Government;173;174;172;188;214;172;122;138;0;0;0;0;2012
S3533;KAWE UKWAMANI;Dar es Salaam;Kinondoni;41;;Government;182;184;176;171;184;185;134;132;0;0;0;0;2012
S1774;MGULASI;Morogoro;Morogoro Urban;77;;Government;154;156;178;134;167;158;220;164;0;0;0;0;2012
S2766;KINYEREZI;Dar es Salaam;Ilala;22;;Government;177;143;140;226;201;156;110;172;0;0;0;0;2012
S3715;BUZA;Dar es Salaam;Temeke;126;;Government;191;196;168;158;158;132;154;149;0;0;0;0;2012
S4403;MABIBO SEKONDARI;Dar es Salaam;Kinondoni;41;;Government;133;132;214;263;294;265;0;0;0;0;0;0;2012
S0306;DODOMA SEKONDARI;Dodoma;Dodoma Urban;16;;Government;100;88;93;113;120;133;152;134;72;75;89;114;2012
S3227;MALELA;Dar es Salaam;Temeke;126;;Government;175;172;186;154;145;159;128;163;0;0;0;0;2012
S1439;KIDODI;Morogoro;Kilosa;39;;Government;214;192;173;178;175;146;82;112;0;0;0;0;2012
S3725;FELIX MREMA;Arusha;Arusha Rural;1;;Government;176;189;167;179;135;123;147;154;0;0;0;0;2012
S0977;OLDONYOSAMBU;Arusha;Arusha Rural;1;;Government;166;146;130;276;131;166;90;158;0;0;0;0;2012
S2367;TOLEDO;Tanga;Tanga CC;124;;Government;180;229;118;208;148;146;120;108;0;0;0;0;2012
S1022;KAMBANGWA;Dar es Salaam;Kinondoni;41;;Government;162;173;177;166;189;165;104;119;0;0;0;0;2012
S0775;DUMILA;Morogoro;Kilosa;39;;Government;184;155;117;163;175;145;149;167;0;0;0;0;2012
S0757;KYELA;Mbeya;Kyela;50;;Government;96;165;138;134;159;110;114;112;147;0;0;72;2012
S0328;MAWENZI;Kilimanjaro;Moshi Urban;79;;Government;61;154;118;152;108;121;143;134;0;105;0;150;2012
S1265;NKOANRUA;Arusha;Meru;70;;Government;171;178;146;181;201;91;143;132;0;0;0;0;2012
S1576;MPUGUSO;Mbeya;Rungwe;107;;Government;185;151;170;126;165;149;153;138;0;0;0;0;2012
S0564;BUSWELU;Mwanza;Ilemela;91;;Government;134;113;184;167;194;143;181;117;0;0;0;0;2012
S3884;OLOIRIEN;Arusha;Meru;70;;Government;169;168;130;98;193;129;191;154;0;0;0;0;2012
S3772;REBU;Mara;Tarime TC;125;;Government;135;137;164;115;171;167;182;159;0;0;0;0;2012
S1800;NSIMBO SEKONDARI;Katavi;Nsimbo;81;;Government;1042;35;37;8;33;14;36;18;0;0;0;0;2012
S1877;DR.NCHIMBI;Mara;Bunda;12;;Government;238;217;97;157;87;132;105;185;0;0;0;0;2012
S0913;USONGWE;Mbeya;Mbeya Rural;65;;Government;155;137;154;159;140;134;139;133;0;0;0;65;2012
S3561;SALMA KIKWETE;Dar es Salaam;Kinondoni;41;;Government;168;152;142;149;158;166;148;127;0;0;0;0;2012
S2381;TURIANI;Dar es Salaam;Kinondoni;41;;Government;173;169;156;154;159;173;93;132;0;0;0;0;2012
S0686;CHATO;Geita;Chato;14;;Government;176;168;144;96;128;115;116;82;100;0;82;0;2012
S0204;JANGWANII;Dar es Salaam;Ilala;22;;Government;0;200;0;220;0;262;0;298;0;137;0;82;2012
S0108;IFUNDA;Iringa;Iringa Rural;26;;Government;135;0;114;0;129;0;145;0;261;45;296;70;2012
S3221;BARABARA YA MWINYI;Dar es Salaam;Temeke;126;;Government;146;164;157;158;142;117;205;104;0;0;0;0;2012
S0222;ZANAKI;Dar es Salaam;Ilala;22;;Government;0;213;0;242;0;256;0;328;0;67;0;73;2012
S0538;VWAWA;Mbeya;Mbozi;67;;Government;160;163;138;139;125;134;98;100;0;57;0;65;2012
S1739;NKENDE;Mara;Tarime TC;125;;Government;146;141;155;105;152;113;200;155;0;0;0;0;2012
S1787;ILOMBA;Mbeya;Mbeya Urban;64;;Government;220;220;118;142;133;134;122;78;0;0;0;0;2012
S3136;SINDE;Mbeya;Mbeya Urban;64;;Government;148;171;151;156;150;157;125;109;0;0;0;0;2012
S1204;UYOLE;Mbeya;Mbeya Urban;64;;Government;143;196;135;142;113;130;169;135;0;0;0;0;2012
S0158;TOSAMAGANGA;Iringa;Iringa Rural;26;;Government;0;0;0;0;0;0;0;0;552;0;610;0;2012
S2064;NKUYU;Mbeya;Kyela;50;;Government;152;152;183;148;136;94;126;171;0;0;0;0;2012
