school_id;school_name;region;district;district_id;ward;longitude_ftna;latitude_ftna;ownership;form1_m;form1_f;form2_m;form2_f;form3_m;form3_f;form4_m;form4_f;form5_m;form5_f;form6_m;form6_f;year
OWN_ID1;MASASI;Mtwara;Masasi;61;;;;no_info;0;0;0;0;0;0;0;0;501;0;539;0;2012
OWN_ID10;ISIKE;Tabora;Urambo;130;;;;no_info;0;0;17;11;9;26;19;14;0;0;0;0;2012
OWN_ID11;MTAKUJA;Geita;Chato;14;;;;no_info;20;14;0;0;0;0;0;0;0;0;0;0;2012
OWN_ID11;MTAKUJA;Geita;Chato;14;;;;no_info;24;11;21;14;0;0;0;0;0;0;0;0;2013
OWN_ID12;AZIMIO;Dar es Salaam;Temeke;126;;;;no_info;159;171;222;271;78;63;123;130;0;0;0;0;2013
OWN_ID13;BURUMA;Ruvuma;Mbinga;66;;;;no_info;2;8;3;2;0;0;0;0;0;0;0;0;2013
OWN_ID14;DAR-ES-SALAAM INDEPENDENT;DAR ES SALAAM;Kinondoni MC;41;Msasani;;;Non-government;17;23;21;22;19;22;22;25;21;12;14;11;2016
OWN_ID14;DAR ES SALAAM INDEPENDENT SCHOOL;DAR ES SALAAM;KINONDONI MC;41;MSASANI;;;Non-government;30;16;18;17;26;20;15;21;15;12;13;12;2017
OWN_ID14;DAR ES SALAAM INDEPENDENT SCHOOL;Dar Es Salaam;Kinondoni MC;41;Msasani;;;Non-government;25;20;24;21;27;20;19;21;25;24;22;20;2019
OWN_ID15;FEZA INTERNATIONAL;DAR ES SALAAM;Kinondoni MC;41;Msigani;;;Non-government;18;6;27;14;32;16;37;11;17;15;0;0;2016
OWN_ID15;FEZA- SALASALA;DAR ES SALAAM;KINONDONI MC;41;WAZO;;;Non-government;38;21;23;7;23;15;31;16;32;21;11;12;2017
OWN_ID15;FEZA- SALASALA;Dar Es Salaam;Kinondoni MC;41;Wazo;;;Non-government;20;20;14;24;18;15;26;24;36;28;34;17;2019
OWN_ID16;KONDOA;DODOMA;Kondoa TC;45;Kondoa Mjini;;;Government;91;107;67;97;67;56;61;71;0;0;0;0;2016
OWN_ID17;KIGOMA CONGOLESE CONSULAIRE;KIGOMA;Kigoma/Ujiji MC;34;Mwanga Kusini;;;Non-government;13;29;15;14;13;15;11;12;18;14;15;9;2016
OWN_ID18;MONG'ARE;KILIMANJARO;Hai;18;Bomang'ombe;;;Non-government;10;7;0;0;0;0;0;0;0;0;0;0;2016
OWN_ID2;LONDA SEC;Dar es Salaam;Kinondoni;41;;;;no_info;109;112;139;89;146;127;0;0;0;0;0;0;2012
OWN_ID2;LONDA SEC;Dar es Salaam;Kinondoni;41;;;;no_info;109;80;165;136;50;146;140;117;0;0;0;0;2013
