district_id;FTNA_GPA_2015;FTNA_GPA_2016;FTNA_GPA_2017
1;1.6063905;1.3991895;1.3287313
2;1.7210555;1.4854806;1.4983485
3;1.7436791;1.6082192;1.5772753
4;1.4130013;1.3353498;1.2760789
5;1.6769167;1.510626;1.4490088
6;1.1351998;1.0512096;1.1286826
7;1.7799358;1.5948343;1.3170159
8;2.0505669;1.8971273;1.7115718
9;1.8900826;2.0050051;1.9650474
10;1.3264827;1.3605606;1.2937044
11;1.390689;1.4307022;1.4718438
12;1.4995244;1.3432056;1.0872923
13;1.2639686;1.1570856;1.3510972
14;1.2963262;1.3255215;1.3203422
15;1.1779625;1.0525331;1.1029141
16;1.537658;1.3619067;1.5018975
17;1.5676794;1.3282084;1.2078395
18;1.5741185;1.2810162;1.1007401
19;1.8080025;1.6526892;1.4592099
20;1.0154964;0.99028593;1.1346103
21;1.7062798;1.6571042;1.3968951
22;1.4329817;1.3208259;1.3626953
23;1.3634111;1.0691244;0.93228139
24;1.3710363;1.2411452;1.1672703
25;1.5146269;1.3884412;1.5013762
26;1.5264536;1.5279308;1.5867988
27;1.6906378;1.5750652;1.4689173
28;1.5184808;1.5500509;1.4238703
29;1.3795983;1.3834518;1.2050673
30;1.6410162;1.6787277;1.7002951
31;1.4405947;1.2901235;1.2968167
32;1.6060402;1.5961139;1.5643959
33;1.8025304;1.6731399;1.5712832
34;1.3015984;1.3100529;1.3431169
35;1.2362042;1.2991194;1.2085636
36;1.4867473;1.1412884;1.3907397
37;1.4554203;1.303359;1.4369406
38;1.1612151;1.2513327;1.3233828
39;1.1408174;1.0676375;1.0178283
40;1.0400198;1.096828;0.83280783
41;1.5233926;1.3700369;1.4837295
42;1.0541393;1.0788062;1.104326
43;1.4641371;1.2950897;1.0955752
44;1.0871283;0.96780327;0.83507616
45;1.2955162;0.97233941;0.93172151
46;1.4604037;1.3259269;1.2581335
47;0.68549855;0.60727536;0.6197826
48;1.3496991;1.1676956;1.1915584
49;1.4154862;1.3984192;1.2455977
50;1.1303558;1.1230432;1.3144054
51;1.032967;1.0779031;1.0784257
52;1.157819;1.1129421;0.96037319
53;0.92822186;0.85208597;0.6876927
54;1.4596327;1.5166387;1.3862563
55;1.2630528;1.2657066;1.1839286
56;1.1507972;0.94391828;0.97102053
57;1.1168401;0.81425486;0.92390382
58;1.4646782;1.3318523;1.2533771
59;1.3096686;1.2867929;1.3315296
60;1.5337048;1.4681887;1.4478034
61;1.0791027;0.75752923;0.90948276
62;1.7039386;1.6120034;1.3506444
63;1.2437687;1.1153215;1.2453283
64;1.5598305;1.441825;1.5558128
65;1.6968955;1.5064037;1.4615385
66;1.2822757;1.3462946;1.0319696
67;1.2922194;1.1854743;1.3014762
68;1.6703809;1.6260763;1.4493268
69;1.5426141;1.1648957;0.87844687
70;1.75159;1.7373692;1.6474857
71;1.3407478;1.2437688;1.1845792
72;1.5971413;1.2556335;1.1408567
73;1.1307726;1.3017732;1.1655664
