district_id,psle_11,psle_12,psle_13,psle_14,psle_15,psle_16,form1_12,form1_13,form1_16,form1_17,intensity,share11,share12,share15,share16
1,9074,8303,7449,7176,7059,7015,6642,6247,6950,5877,0.32911797662878184,0.7319814855631475,0.7523786583162713,0.9845587193653492,0.837776193870278
2,9034,9404,8883,9097,9596,9960,6740,6500,8149,8022,0.44676923076923075,0.7460704007084348,0.6911952360697575,0.8492080033347228,0.805421686746988
3,2286,2078,1941,1900,1895,2193,1862,1721,1862,1959,0.2074375363160953,0.8145231846019247,0.8282001924927815,0.9825857519788919,0.893296853625171
4,7306,7036,6318,6122,6126,6339,4383,3854,3945,3963,0.8256357031655422,0.5999178757185875,0.5477544059124503,0.6439764936336925,0.6251774727875059
5,5923,5561,5909,5917,5727,6005,4724,4609,5068,5096,0.20655239748318507,0.7975687995948,0.8288077683869808,0.8849310284616728,0.8486261448792672
6,3465,3221,2899,2710,2409,2785,1439,1465,1259,1511,1.1986348122866894,0.4152958152958153,0.4548276932629618,0.522623495226235,0.5425493716337523
7,18129,12195,12319,10560,9678,9979,5590,5651,6714,6955,1.158025128295877,0.30834574438744555,0.46338663386633866,0.6937383756974581,0.6969636236095801
8,2366,2822,2609,2680,2904,3613,1568,1878,2673,2849,0.5026624068157615,0.6627218934911243,0.6654854712969526,0.9204545454545454,0.7885413783559369
9,2325,2352,2445,2293,2390,2629,2578,2414,2160,2551,-0.02568351284175642,1.1088172043010753,1.026360544217687,0.9037656903765691,0.9703309243058197
10,6809,6269,5840,4645,4921,4749,3692,3396,3384,3730,0.8459952885747939,0.5422235276839478,0.5417131918966342,0.6876651087177403,0.7854285112655296
11,7043,8852,7032,6783,6705,6730,3843,4505,4841,5029,0.9649278579356271,0.5456481612949028,0.5089245368278356,0.7219985085756898,0.7472511144130758
12,12544,10274,9946,10419,10236,10304,6235,5472,5705,6280,0.8775584795321637,0.49705038265306123,0.5326065797157874,0.557346619773349,0.609472049689441
13,5302,4919,5118,4544,4409,5676,2404,2350,2185,2836,1.093191489361702,0.45341380611090154,0.47773937792234195,0.4955772283964618,0.4996476391825229
14,5938,5702,6012,4759,4653,5040,3505,3862,3752,4251,0.47643707923355777,0.5902660828561805,0.6773062083479481,0.8063614872125511,0.843452380952381
15,6590,4890,4952,4437,4491,4556,2629,2405,2107,2167,1.0332640332640333,0.398937784522003,0.4918200408997955,0.4691605433088399,0.47563652326602285
16,8712,8162,7935,7940,8237,8398,5811,5702,5445,5932,0.431427569273939,0.6670110192837465,0.6986032835089439,0.6610416413742868,0.7063586568230531
17,19574,16975,16351,16312,14916,14394,9177,9241,12156,12572,0.8369224109944812,0.468836211300705,0.5443888070692194,0.8149637972646823,0.8734194803390302
18,4992,4881,4822,4676,4695,4600,3639,3886,4062,3864,0.25604734945959856,0.7289663461538461,0.7961483302601926,0.8651757188498402,0.84
19,5774,6269,5140,5160,5273,5201,3211,2890,2292,3070,1.169204152249135,0.5561136127467959,0.46099856436433245,0.43466717238763514,0.5902711017112093
20,6041,5955,5550,5169,5324,5425,4195,4075,3937,3321,0.46134969325153374,0.6944214534017547,0.6842989084802686,0.7394815927873779,0.6121658986175115
21,8879,7859,7869,7156,7594,6158,3109,2826,3534,4397,1.780962491153574,0.3501520441491159,0.35958773380837256,0.4653673953120885,0.71403052939266
22,17038,17537,18404,18250,18690,20059,12442,14225,15056,15762,0.23282952548330405,0.7302500293461673,0.8111421565832241,0.8055644729802033,0.7857819432673613
23,4968,4093,3879,3469,3343,3289,1889,1944,1655,1665,1.1054526748971194,0.38023349436392917,0.4749572440752504,0.4950643134908765,0.5062328975372453
24,11487,10780,10168,9195,8170,6871,3687,3610,3825,3873,1.9861495844875345,0.32097153303734655,0.33487940630797774,0.46817625458996326,0.5636734099839907
25,3361,3145,3323,3250,3253,3429,3560,3253,3107,3235,-0.033200122963418385,1.05920856887831,1.0343402225755167,0.9551183522901937,0.9434237386993293
26,9190,6978,6403,5872,5626,5414,4666,4444,4488,4938,0.5702070207020702,0.5077257889009793,0.6368586987675552,0.7977248489157484,0.912079793128925
