district_id;students
1;9074
2;9034
3;2286
4;7306
5;5923
6;3465
7;18129
8;2366
9;2325
10;6809
11;7043
12;12544
13;5302
14;5938
15;6590
16;8712
17;19574
18;4992
19;5774
20;6041
21;8879
22;17038
23;4968
24;11487
25;3361
26;9190
27;17357
28;10908
29;5893
30;12115
31;1519
32;2418
33;9713
34;4972
35;12096
36;3316
37;6352
38;9885
39;13587
40;4762
41;20857
42;2515
43;7403
44;3950
45;16598
46;6978
47;6295
48;1669
49;9373
50;8191
51;1617
52;4064
53;2633
54;1784
55;4267
56;14777
57;1316
58;14634
59;3162
60;5185
61;9770
62;9742
63;7486
64;8841
65;9334
66;13503
67;20904
68;8421
69;10645
70;6978
71;4961
72;7319
73;1915
74;2871
75;5902
76;3224
77;5963
78;7448
79;3687
80;11864
81;6933
82;7351
83;7079
84;8591
85;4917
86;10454
87;4601
88;13966
89;7314
90;3590
91;17014
92;4135
93;5966
94;4379
95;5224
96;4207
97;3208
98;9211
99;3644
100;4538
101;9706
102;1223
103;7640
104;7274
105;3219
106;5865
107;12353
108;8579
109;17476
110;5439
111;3885
112;8901
113;2649
114;2968
115;3010
116;3430
117;12053
118;4321
119;4914
120;4721
121;10271
122;10119
123;5398
124;6789
125;8800
126;18633
127;7953
128;8716
129;5985
130;8108
