school_id;school_id14
S5305;P1367-0
S0105;S0005-0
S0138;S0006-0
S0220;S0007-0
S0101;S0008-0
S0345;S0009-0
S0222;S0011-0
S0332;S0013-0
S4961;S0013-1
S0304;S0014-0
S0325;S0015-0
S0104;S0016-0
S0134;S0017-0
S0155;S0020-0
S0156;S0021-0
S0128;S0022-0
S0110;S0024-0
S0147;S0028-0
S0328;S0029-0
S0306;S0030-1
S0314;S0031-0
S0324;S0032-1
S0204;S0033-0
S0333;S0034-0
S0302;S0035-0
S0316;S0037-0
S0153;S0039-0
S0108;S0044-1
S0206;S0045-1
S0214;S0048-0
S0129;S0049-0
S0323;S0056-0
S0215;S0057-0
S0313;S0059-0
S0136;S0061-0
s0342;S0062-0
S0112;S0063-0
S0346;S0065-0
S0303;S0066-1
S0111;S0069-0
S0124;S0071-0
S0317;S0072-0
S0114;S0074-0
S0209;S0075-0
S0146;S0077-0
S0127;S0078-0
S0218;S0079-0
S0310;S0080-0
S0308;S0081-1
S0113;S0082-0
S0321;S0084-0
S0340;S0085-0
S0205;S0086-0
S0121;S0088-0
S0341;S0091-0
S0305;S0092-0
S0140;S0093-0
S0331;S0094-0
S0217;S0095-0
S0148;S0096-0
S0335;S0097-0
S0330;S0098-0
S0152;S0099-0
S0135;S0100-0
S0141;S0100-1
S0118;S0101-0
S0318;S0103-0
S0203;S0106-0
S0106;S0106-5
S0116;S0108-0
S0210;S0110-0
S0117;S0111-0
S0312;S0112-0
S0348;S0113-0
S0159;S0114-0
S0207;S0115-0
S0154;S0117-0
S0119;S0119-0
S0343;S0122-0
S0122;S0122-1
S0322;S0124-0
S0107;s0126-1
S0139;S0128-0
S0352;S0129-0
S0329;S0131-0
S0357;S0133-0
S0130;S0130-0
S0368;S0135-1
S0361;S0136-0
S0359;S0138-0
S0355;S0139-0
S0165;S0140-0
S0380;S0141-0
S0223;S0142-0
S0376;S0145-0
S0356;S0146-0
S0363;S0147-0
S0367;S0156-0
S0157;S0157-0
S0378;S0159-0
S0349;S0160-0
S0358;S0161-0
S0327;S0163-0
S0387;S0164-0
S0167;S0167-0
S0388;S0167-1
S0385;S0168-0
S0353;S0169-0
S0386;S0170-0
S0372;S0171-0
S0375;S0172-0
S0354;S0173-0
S0389;S0174-0
S0397;S0177-0
S0360;S0179-0
S0371;S0180-0
S0224;S0182-0
S0373;S0183-0
S0404;S0187-0
S0407;S0188-0
S0406;S0189-0
S0409;S0190-1
S0405;S0192-0
S0168;S0196-0
S0169;S0197-0
S0414;S0198-0
S0420;S0199-0
S0417;S0200-0
S0418;S0201-0
S0226;S0202-0
S0422;S0203-0
S0171;S0204-0
S0428;S0206-0
S0430;S0207-0
S0208;S0208-0
S0431;S0208-1
S0426;S0209-0
S0429;S0210-0
S0427;S0211-0
S0432;S0212-0
S0419;S0213-0
S0213;S0213-1
S0436;S0217-0
S0438;S0218-0
S0434;S0219-0
S0435;S0220-0
S0395;S0221-0
S0439;S0222-0
S0454;S0224-0
S0449;S0225-0
S0446;S0226-0
S0447;S0227-0
S0448;S0228-0
S0444;S0229-0
S0445;S0230-0
S0443;S0231-0
S0442;S0232-0
S0452;S0234-1
S0451;S0235-1
S0450;S0236-0
S0456;S0237-0
S0231;S0238-0
S0173;S0239-0
S0459;S0240-0
S0462;S0241-0
S0225;S0242-0
