REG. NO.;CODE;NAME;REGION;DISTRICT;WARD;OWNERSHIP;LATITUDE;LONGITUDE;PASS_RATE;AVG_MARK;CHANGE_PREVIOUS_YEAR;RANK;YEAR_OF_RESULT
EM.1865;PS0101-001;BANGATA;ARUSHA;ARUSHA;BANGATA;GOVERNMENT;-3.3403253;36.7431434;;;;;
EM.4030;PS0101-003;BWAWANI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.6076467;36.8447191;;;;;
EM.11557;PS0101-005;EKENYWA;ARUSHA;ARUSHA;OLTURUMET;GOVERNMENT;-3.2983403;36.6267205;;;;;
EM.6937;PS0101-006;EMAOI;ARUSHA;ARUSHA;OLMOTONYI;GOVERNMENT;-3.3080883;36.6489966;;;;;
EM.6938;PS0101-007;ENDOINYOESOYE;ARUSHA;ARUSHA;TARAKWA;GOVERNMENT;-3.3227865;36.6515627;;;;;
EM.4031;PS0101-008;ENGALAONI;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.2379416;36.5442366;;;;;
EM.12373;PS0101-009;ENGORIKA;ARUSHA;ARUSHA;LEMANYATA;GOVERNMENT;-3.2327941;36.6422835;;;;;
EM.10548;PS0101-010;ENGUTUKOIT;ARUSHA;ARUSHA;OLDONYOWASS;GOVERNMENT;-3.0463618;36.7477283;;;;;
EM.7602;PS0101-011;ENYUATA;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.358471;36.668068;;;;;
EM.9579;PS0101-012;GREEN ACRES;ARUSHA;ARUSHA;KIUTU;NON GOVERNMENT;-3.3624253;36.7056632;;;;;
EM.656;PS0101-013;ILBORU;ARUSHA;ARUSHA;ILBORU;GOVERNMENT;-3.347781;36.68613;;;;;
EM.10715;PS0101-014;ILKERIN;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.3567017;36.5261733;;;;;
EM.1171;PS0101-015;ILKIDING'A;ARUSHA;ARUSHA;ILKIDING'A;GOVERNMENT;-3.3178416;36.6848933;;;;;
EM.15191;PS0101-016;ILKISONGO;ARUSHA;ARUSHA;ILKIDING'A;GOVERNMENT;-3.317492;36.965646;;;;;
EM.10716;PS0101-017;ILKIUREI;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.356937;36.676662;;;;;
EM.6939;PS0101-018;ILKUROT;ARUSHA;ARUSHA;OLKOKOLA;GOVERNMENT;-3.2264657;36.6184642;;;;;
EM.5787;PS0101-019;IMBIBIA;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.2489526;36.5856477;;;;;
EM.10887;PS0101-020;J.K. NYERERE;ARUSHA;ARUSHA;OLORIEN;GOVERNMENT;-3.3431873;36.6461204;;;;;
EM.6940;PS0101-022;KAMBI YA MAZIWA;ARUSHA;ARUSHA;MATEVES;GOVERNMENT;-3.3732665;36.5763576;;;;;
EM.4032;PS0101-023;KIGONGONI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.5378021;36.7805231;;;;;
EM.13028;PS0101-024;KILIMANJARO;ARUSHA;ARUSHA;OLORIEN;NON GOVERNMENT;-3.3501163;36.6522587;;;;;
EM.5788;PS0101-025;KIMNYAKI;ARUSHA;ARUSHA;KIMNYAKI;GOVERNMENT;-3.3154126;36.6547614;;;;;
EM.4577;PS0101-026;KIOGA;ARUSHA;ARUSHA;ILKIDING'A;GOVERNMENT;-3.3641707;36.7056296;;;;;
EM.13029;PS0101-027;KIRANYI;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.358471;36.668068;;;;;
EM.2011;PS0101-028;KISERIAN;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.44958;36.740663;;;;;
EM.735;PS0101-029;KISONGO;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.369725;36.547065;;;;;
EM.11082;PS0101-030;LAMOLOKI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.580214;36.833073;;;;;
EM.6941;PS0101-031;LAROI;ARUSHA;ARUSHA;LAROI;GOVERNMENT;-3.4958783;36.6267749;;;;;
EM.2754;PS0101-032;LEMANYATA;ARUSHA;ARUSHA;LEMANYATA;GOVERNMENT;-3.26372;36.61808;;;;;
EM.6942;PS0101-033;LEMINYOR;ARUSHA;ARUSHA;OLDONYOSAMBU;GOVERNMENT;-3.1982275;36.6338513;;;;;
EM.3022;PS0101-034;LEMUGUR;ARUSHA;ARUSHA;MATEVES;GOVERNMENT;-3.4318583;36.5611199;;;;;
EM.4033;PS0101-035;LENGIJAVE;ARUSHA;ARUSHA;OLKOKOLA;GOVERNMENT;-3.2224733;36.6038033;;;;;
EM.4578;PS0101-036;LESIRAA;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.3975833;36.5051016;;;;;
EM.4034;PS0101-037;LIKAMBA;ARUSHA;ARUSHA;MUSA;GOVERNMENT;-3.3373668;36.559877;;;;;
EM.5789;PS0101-038;LOOVILUKUNYI;ARUSHA;ARUSHA;KISONGO;GOVERNMENT;-3.4087917;36.5432633;;;;;
EM.2343;PS0101-039;LORUVAN;ARUSHA;ARUSHA;OLTUROTO;GOVERNMENT;-3.3470433;36.7034833;;;;;
EM.6943;PS0101-040;LOSIKITO;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.5391888;36.6506438;;;;;
EM.4579;PS0101-041;LOSINONI;ARUSHA;ARUSHA;OLDONYOWASS;GOVERNMENT;-3.0473625;36.6981188;;;;;
EM.4580;PS0101-043;MAJI MOTO;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.3539155;36.0075363;;;;;
EM.6944;PS0101-044;MANYIRE;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.4546016;36.8054433;;;;;
EM.4581;PS0101-045;MARURANI;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.4798152;36.8440208;;;;;
EM.12374;PS0101-047;MATIM;ARUSHA;ARUSHA;LEMANYATA;GOVERNMENT;-3.1548698;36.3745156;;;;;
EM.6945;PS0101-048;MBUYUNI;ARUSHA;ARUSHA;OLJORO;GOVERNMENT;-3.5632833;36.6561466;;;;;
EM.4582;PS0101-049;MIDAWE;ARUSHA;ARUSHA;BANGATA;GOVERNMENT;-3.3684617;36.7531625;;;;;
EM.6946;PS0101-050;MIRONGOINE;ARUSHA;ARUSHA;OLJORO;GOVERNMENT;-3.5679519;36.6531133;;;;;
EM.4035;PS0101-051;MLANGARINI;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.447954;36.786516;;;;;
EM.13030;PS0101-052;MOIVO;ARUSHA;ARUSHA;MOIVO;GOVERNMENT;-3.3470433;36.7034833;;;;;
EM.6947;PS0101-054;MRINGA;ARUSHA;ARUSHA;OLORIEN;GOVERNMENT;-3.3540036;36.6156082;;;;;
EM.5790;PS0101-055;MUNGUSHI;ARUSHA;ARUSHA;BWAWANI;GOVERNMENT;-3.5292372;36.8333401;;;;;
EM.1172;PS0101-057;MUSA;ARUSHA;ARUSHA;MUSA;GOVERNMENT;-3.3224154;36.5205957;;;;;
EM.9230;PS0101-058;MUUNGANO;ARUSHA;ARUSHA;MLANGARINI;GOVERNMENT;-3.482045;36.7362017;;;;;
EM.1457;PS0101-059;MWANDETI;ARUSHA;ARUSHA;MWANDET;GOVERNMENT;-3.5391888;36.6506438;;;;;
EM.7603;PS0101-060;MZIMUNI;ARUSHA;ARUSHA;NDURUMA;GOVERNMENT;-3.5046799;36.8059825;;;;;
EM.6948;PS0101-061;NAMBERE;ARUSHA;ARUSHA;SOKON II;GOVERNMENT;-3.353053;36.721954;;;;;
EM.7604;PS0101-062;NATEMA;ARUSHA;ARUSHA;KIRANYI;GOVERNMENT;-3.3399363;36.6999421;;;;;
